center_cls,neighbour_cls,attention,distance
background,background,0.10704083740711212,1
background,background,0.05272207781672478,2
background,background,0.03611434996128082,3
background,background,0.024616124108433723,4
background,background,0.02021702006459236,5
background,background,0.021151995286345482,6
background,background,0.021347787231206894,7
background,background,0.020413720980286598,8
background,cyst,0.0001747722999425605,1
background,cyst,0.00018605022341944277,2
background,cyst,0.00017595625831745565,3
background,cyst,0.00015761933173052967,4
background,cyst,0.0001727493799990043,5
background,cyst,0.00023104016145225614,6
background,cyst,0.00031107186805456877,7
background,cyst,0.00035261083394289017,8
background,tumor_bleeding,0.002933823736384511,1
background,tumor_bleeding,0.002129955217242241,2
background,tumor_bleeding,0.0015955875860527158,3
background,tumor_bleeding,0.0012942166067659855,4
background,tumor_bleeding,0.0011064885184168816,5
background,tumor_bleeding,0.0010603321716189384,6
background,tumor_bleeding,0.0012035671388730407,7
background,tumor_bleeding,0.001282507786527276,8
background,tumor_necrosis,0.007066299673169851,1
background,tumor_necrosis,0.0052199093624949455,2
background,tumor_necrosis,0.004109158646315336,3
background,tumor_necrosis,0.0033969602081924677,4
background,tumor_necrosis,0.0030398424714803696,5
background,tumor_necrosis,0.0030059083364903927,6
background,tumor_necrosis,0.003526124870404601,7
background,tumor_necrosis,0.0037337399553507566,8
background,tumor_vital,0.05113891884684563,1
background,tumor_vital,0.03406963869929314,2
background,tumor_vital,0.026173917576670647,3
background,tumor_vital,0.021378036588430405,4
background,tumor_vital,0.019399400800466537,5
background,tumor_vital,0.019063619896769524,6
background,tumor_vital,0.022221118211746216,7
background,tumor_vital,0.022973792627453804,8
background,extrarenal,0.04733595252037048,1
background,extrarenal,0.030782382935285568,2
background,extrarenal,0.022301116958260536,3
background,extrarenal,0.017058229073882103,4
background,extrarenal,0.014880583621561527,5
background,extrarenal,0.014105414971709251,6
background,extrarenal,0.015802649781107903,7
background,extrarenal,0.015872148796916008,8
background,cortex,0.02159082517027855,1
background,cortex,0.015076575800776482,2
background,cortex,0.011493989266455173,3
background,cortex,0.009085037745535374,4
background,cortex,0.008332980796694756,5
background,cortex,0.008087536320090294,6
background,cortex,0.009252929128706455,7
background,cortex,0.00971513707190752,8
background,angioinvasion,6.02428954152856e-05,1
background,angioinvasion,3.9027774619171396e-05,2
background,angioinvasion,2.1639707483700477e-05,3
background,angioinvasion,1.5980611351551488e-05,4
background,angioinvasion,1.635621811146848e-05,5
background,angioinvasion,2.0903977201669477e-05,6
background,angioinvasion,2.390475128777325e-05,7
background,angioinvasion,2.1405983716249466e-05,8
background,mark,0.009676593355834484,1
background,mark,0.007225497160106897,2
background,mark,0.005900437943637371,3
background,mark,0.0047668698243796825,4
background,mark,0.004418635740876198,5
background,mark,0.004464782774448395,6
background,mark,0.005151699297130108,7
background,mark,0.005502901040017605,8
background,tumor_regression,0.01916288211941719,1
background,tumor_regression,0.01344777550548315,2
background,tumor_regression,0.010848318226635456,3
background,tumor_regression,0.008873648010194302,4
background,tumor_regression,0.008311915211379528,5
background,tumor_regression,0.008376420475542545,6
background,tumor_regression,0.009640119969844818,7
background,tumor_regression,0.010006088763475418,8
background,capsule,0.006548806559294462,1
background,capsule,0.003941748756915331,2
background,capsule,0.0028187264688313007,3
background,capsule,0.0021309794392436743,4
background,capsule,0.001874828594736755,5
background,capsule,0.0018635110463947058,6
background,capsule,0.0022042084019631147,7
background,capsule,0.002284567803144455,8
cyst,background,0.006874327547848225,1
cyst,background,0.006356263533234596,2
cyst,background,0.00619090348482132,3
cyst,background,0.005562721285969019,4
cyst,background,0.006154878996312618,5
cyst,background,0.0075449817813932896,6
cyst,background,0.009262654930353165,7
cyst,background,0.010275082662701607,8
cyst,cyst,0.11411841958761215,1
cyst,cyst,0.034778472036123276,2
cyst,cyst,0.01528722420334816,3
cyst,cyst,0.008666560053825378,4
cyst,cyst,0.004246203228831291,5
cyst,cyst,0.002739013871178031,6
cyst,cyst,0.002193896099925041,7
cyst,cyst,0.0019318312406539917,8
cyst,tumor_bleeding,0.013689510524272919,1
cyst,tumor_bleeding,0.009694564156234264,2
cyst,tumor_bleeding,0.007180611602962017,3
cyst,tumor_bleeding,0.005509614944458008,4
cyst,tumor_bleeding,0.004419023636728525,5
cyst,tumor_bleeding,0.004301105625927448,6
cyst,tumor_bleeding,0.0035817513708025217,7
cyst,tumor_bleeding,0.0030309243593364954,8
cyst,tumor_necrosis,0.003335600020363927,1
cyst,tumor_necrosis,0.0012351522454991937,2
cyst,tumor_necrosis,0.0007907773251645267,3
cyst,tumor_necrosis,0.0007633760687895119,4
cyst,tumor_necrosis,0.0007324563339352608,5
cyst,tumor_necrosis,0.0006560744950547814,6
cyst,tumor_necrosis,0.0007434398867189884,7
cyst,tumor_necrosis,0.0011940138647332788,8
cyst,tumor_vital,0.13224023580551147,1
cyst,tumor_vital,0.07568278908729553,2
cyst,tumor_vital,0.05115810036659241,3
cyst,tumor_vital,0.037083931267261505,4
cyst,tumor_vital,0.029309822246432304,5
cyst,tumor_vital,0.02657351829111576,6
cyst,tumor_vital,0.028776533901691437,7
cyst,tumor_vital,0.027446510270237923,8
cyst,extrarenal,0.0013976636109873652,1
cyst,extrarenal,0.003638290334492922,2
cyst,extrarenal,0.0050798505544662476,3
cyst,extrarenal,0.005599403288215399,4
cyst,extrarenal,0.006185746751725674,5
cyst,extrarenal,0.006852054502815008,6
cyst,extrarenal,0.009516095742583275,7
cyst,extrarenal,0.012514910660684109,8
cyst,cortex,0.0021703767124563456,1
cyst,cortex,0.003946985583752394,2
cyst,cortex,0.005395135842263699,3
cyst,cortex,0.0064299763180315495,4
