center_cls,neighbour_cls,attention,distance
cyst,tumor_bleeding,0.008363453671336174,1
cyst,tumor_bleeding,0.008318127132952213,2
cyst,tumor_bleeding,0.004576627165079117,3
cyst,tumor_bleeding,0.003933119121938944,4
cyst,tumor_bleeding,0.003324870951473713,5
cyst,tumor_bleeding,0.0028124351520091295,6
cyst,tumor_bleeding,0.002700611250475049,7
cyst,tumor_bleeding,0.00218784948810935,8
cyst,tumor_necrosis,0.0015573537675663829,1
cyst,tumor_necrosis,0.0007621232070960104,2
cyst,tumor_necrosis,0.0005884148995392025,3
cyst,tumor_necrosis,0.0005954767693765461,4
cyst,tumor_necrosis,0.0005741179338656366,5
cyst,tumor_necrosis,0.00043266144348308444,6
cyst,tumor_necrosis,0.0006389728514477611,7
cyst,tumor_necrosis,0.0007423487841151655,8
cyst,tumor_vital,0.11226537078619003,1
cyst,tumor_vital,0.09508928656578064,2
cyst,tumor_vital,0.05161320045590401,3
cyst,tumor_vital,0.04816683381795883,4
cyst,tumor_vital,0.037516988813877106,5
cyst,tumor_vital,0.033113833516836166,6
cyst,tumor_vital,0.03808843344449997,7
cyst,tumor_vital,0.031933411955833435,8
cyst,extrarenal,0.001464756322093308,1
cyst,extrarenal,0.005470484960824251,2
cyst,extrarenal,0.005641969386488199,3
cyst,extrarenal,0.007122550159692764,4
cyst,extrarenal,0.006929096300154924,5
cyst,extrarenal,0.007125925272703171,6
cyst,extrarenal,0.010963059961795807,7
cyst,extrarenal,0.011439293622970581,8
cyst,cortex,0.0025553901214152575,1
cyst,cortex,0.006685024593025446,2
cyst,cortex,0.0053357454016804695,3
cyst,cortex,0.00818094052374363,4
cyst,cortex,0.009104961529374123,5
cyst,cortex,0.008257817476987839,6
cyst,cortex,0.010206442326307297,7
cyst,cortex,0.009475192986428738,8
cyst,angioinvasion,0.0,1
cyst,angioinvasion,0.0,2
cyst,angioinvasion,0.0,3
cyst,angioinvasion,0.0,4
cyst,angioinvasion,3.627445437359711e-07,5
cyst,angioinvasion,2.263714122818783e-06,6
cyst,angioinvasion,5.610766493191477e-06,7
cyst,angioinvasion,8.243806064456294e-07,8
cyst,mark,9.845969907473773e-05,1
cyst,mark,0.0005814906326122582,2
cyst,mark,0.0009612626163288951,3
cyst,mark,0.0018034891691058874,4
cyst,mark,0.0030117081478238106,5
cyst,mark,0.0035706425551325083,6
cyst,mark,0.005886803846806288,7
cyst,mark,0.005860178731381893,8
cyst,tumor_regression,0.027370963245630264,1
cyst,tumor_regression,0.030095001682639122,2
cyst,tumor_regression,0.019893979653716087,3
cyst,tumor_regression,0.021836265921592712,4
cyst,tumor_regression,0.01781775988638401,5
cyst,tumor_regression,0.014619541354477406,6
cyst,tumor_regression,0.013044205494225025,7
cyst,tumor_regression,0.015118577517569065,8
cyst,capsule,0.004735252819955349,1
cyst,capsule,0.006818927358835936,2
cyst,capsule,0.004311342258006334,3
cyst,capsule,0.004652330186218023,4
cyst,capsule,0.00403808057308197,5
cyst,capsule,0.0030651462730020285,6
cyst,capsule,0.003626305377110839,7
cyst,capsule,0.003232366405427456,8
tumor_bleeding,background,0.01854163594543934,1
tumor_bleeding,background,0.015153360553085804,2
tumor_bleeding,background,0.00805668719112873,3
tumor_bleeding,background,0.007870296016335487,4
tumor_bleeding,background,0.00642123119905591,5
tumor_bleeding,background,0.00515011977404356,6
tumor_bleeding,background,0.006117235403507948,7
tumor_bleeding,background,0.005819858051836491,8
tumor_bleeding,cyst,0.0015099128941074014,1
tumor_bleeding,cyst,0.0013445285148918629,2
tumor_bleeding,cyst,0.0008786778198555112,3
tumor_bleeding,cyst,0.0007774039986543357,4
tumor_bleeding,cyst,0.0006503550102934241,5
tumor_bleeding,cyst,0.0005146177136339247,6
tumor_bleeding,cyst,0.0005459021194837987,7
tumor_bleeding,cyst,0.0004200408002361655,8
tumor_bleeding,tumor_bleeding,0.11470796167850494,1
tumor_bleeding,tumor_bleeding,0.06689512729644775,2
tumor_bleeding,tumor_bleeding,0.02787613682448864,3
tumor_bleeding,tumor_bleeding,0.021480731666088104,4
tumor_bleeding,tumor_bleeding,0.014977067708969116,5
tumor_bleeding,tumor_bleeding,0.009883634746074677,6
tumor_bleeding,tumor_bleeding,0.011573422700166702,7
tumor_bleeding,tumor_bleeding,0.007983123883605003,8
tumor_bleeding,tumor_necrosis,0.005459532141685486,1
tumor_bleeding,tumor_necrosis,0.005816275719553232,2
tumor_bleeding,tumor_necrosis,0.003283074125647545,3
tumor_bleeding,tumor_necrosis,0.0033452482894062996,4
tumor_bleeding,tumor_necrosis,0.0029205679893493652,5
tumor_bleeding,tumor_necrosis,0.0022712305653840303,6
tumor_bleeding,tumor_necrosis,0.00250054569914937,7
tumor_bleeding,tumor_necrosis,0.002650930779054761,8
tumor_bleeding,tumor_vital,0.07238055020570755,1
tumor_bleeding,tumor_vital,0.06732931733131409,2
tumor_bleeding,tumor_vital,0.04171234741806984,3
